# ILS - input1.dat
instancia,mejor_costo,error_relativa,costo_promedio,tiempo_promedio
1,19,0.000000,19.300000,0.365371
2,19,0.000000,19.300000,0.365371
3,19,0.157895,19.300000,0.365371
4,19,0.000000,19.300000,0.365371
5,19,0.000000,19.300000,0.365371
6,19,0.000000,19.300000,0.365371
7,19,0.000000,19.300000,0.365371
8,19,0.000000,19.300000,0.365371
9,19,0.000000,19.300000,0.365371
10,19,0.000000,19.300000,0.365371

# ILS - input2.dat
instancia,mejor_costo,error_relativa,costo_promedio,tiempo_promedio
1,23,0.086957,25.900000,1.383572
2,23,0.000000,25.900000,1.383572
3,23,0.478261,25.900000,1.383572
4,23,0.000000,25.900000,1.383572
5,23,0.000000,25.900000,1.383572
6,23,0.043478,25.900000,1.383572
7,23,0.043478,25.900000,1.383572
8,23,0.173913,25.900000,1.383572
9,23,0.000000,25.900000,1.383572
10,23,0.434783,25.900000,1.383572

# ILS - input3.dat
instancia,mejor_costo,error_relativa,costo_promedio,tiempo_promedio
1,42,0.000000,43.700000,1.619093
2,42,0.071429,43.700000,1.619093
3,42,0.071429,43.700000,1.619093
4,42,0.071429,43.700000,1.619093
5,42,0.000000,43.700000,1.619093
6,42,0.047619,43.700000,1.619093
7,42,0.047619,43.700000,1.619093
8,42,0.047619,43.700000,1.619093
9,42,0.000000,43.700000,1.619093
10,42,0.047619,43.700000,1.619093

# ILS - input4.dat
instancia,mejor_costo,error_relativa,costo_promedio,tiempo_promedio
1,53,0.018868,55.000000,3.290866
2,53,0.037736,55.000000,3.290866
3,53,0.056604,55.000000,3.290866
4,53,0.018868,55.000000,3.290866
5,53,0.037736,55.000000,3.290866
6,53,0.037736,55.000000,3.290866
7,53,0.056604,55.000000,3.290866
8,53,0.000000,55.000000,3.290866
9,53,0.075472,55.000000,3.290866
10,53,0.037736,55.000000,3.290866

# ILS - input5.dat
instancia,mejor_costo,error_relativa,costo_promedio,tiempo_promedio
1,65,0.123077,70.000000,7.617140
2,65,0.061538,70.000000,7.617140
3,65,0.123077,70.000000,7.617140
4,65,0.000000,70.000000,7.617140
5,65,0.030769,70.000000,7.617140
6,65,0.092308,70.000000,7.617140
7,65,0.092308,70.000000,7.617140
8,65,0.092308,70.000000,7.617140
9,65,0.030769,70.000000,7.617140
10,65,0.123077,70.000000,7.617140

# ILS - input6.dat
