# VNS - input1.dat
instancia,mejor_costo,error_relativa,costo_promedio,tiempo_promedio
1,19,0.000000,19.000000,0.486914
2,19,0.000000,19.000000,0.486914
3,19,0.000000,19.000000,0.486914
4,19,0.000000,19.000000,0.486914
5,19,0.000000,19.000000,0.486914
6,19,0.000000,19.000000,0.486914
7,19,0.000000,19.000000,0.486914
8,19,0.000000,19.000000,0.486914
9,19,0.000000,19.000000,0.486914
10,19,0.000000,19.000000,0.486914

# VNS - input2.dat
instancia,mejor_costo,error_relativa,costo_promedio,tiempo_promedio
1,22,0.227273,24.700000,1.585489
2,22,0.454545,24.700000,1.585489
3,22,0.000000,24.700000,1.585489
4,22,0.045455,24.700000,1.585489
5,22,0.000000,24.700000,1.585489
6,22,0.045455,24.700000,1.585489
7,22,0.000000,24.700000,1.585489
8,22,0.000000,24.700000,1.585489
9,22,0.454545,24.700000,1.585489
10,22,0.000000,24.700000,1.585489

# VNS - input3.dat
instancia,mejor_costo,error_relativa,costo_promedio,tiempo_promedio
1,42,0.023810,43.200000,2.638333
2,42,0.023810,43.200000,2.638333
3,42,0.000000,43.200000,2.638333
4,42,0.047619,43.200000,2.638333
5,42,0.023810,43.200000,2.638333
6,42,0.023810,43.200000,2.638333
7,42,0.047619,43.200000,2.638333
8,42,0.047619,43.200000,2.638333
9,42,0.023810,43.200000,2.638333
10,42,0.023810,43.200000,2.638333

# VNS - input4.dat
instancia,mejor_costo,error_relativa,costo_promedio,tiempo_promedio
1,52,0.076923,54.700000,4.468847
2,52,0.096154,54.700000,4.468847
3,52,0.057692,54.700000,4.468847
4,52,0.076923,54.700000,4.468847
5,52,0.019231,54.700000,4.468847
6,52,0.076923,54.700000,4.468847
7,52,0.000000,54.700000,4.468847
8,52,0.076923,54.700000,4.468847
9,52,0.000000,54.700000,4.468847
10,52,0.038462,54.700000,4.468847

# VNS - input5.dat
instancia,mejor_costo,error_relativa,costo_promedio,tiempo_promedio
1,63,0.079365,67.200000,8.572530
2,63,0.047619,67.200000,8.572530
3,63,0.031746,67.200000,8.572530
4,63,0.111111,67.200000,8.572530
5,63,0.079365,67.200000,8.572530
6,63,0.063492,67.200000,8.572530
7,63,0.047619,67.200000,8.572530
8,63,0.000000,67.200000,8.572530
9,63,0.047619,67.200000,8.572530
10,63,0.158730,67.200000,8.572530

# VNS - input6.dat
instancia,mejor_costo,error_relativa,costo_promedio,tiempo_promedio
1,75,0.013333,80.600000,9.343012
2,75,0.106667,80.600000,9.343012
3,75,0.226667,80.600000,9.343012
4,75,0.120000,80.600000,9.343012
5,75,0.053333,80.600000,9.343012
6,75,0.080000,80.600000,9.343012
7,75,0.013333,80.600000,9.343012
8,75,0.093333,80.600000,9.343012
9,75,0.040000,80.600000,9.343012
10,75,0.000000,80.600000,9.343012

# VNS - input7.dat
instancia,mejor_costo,error_relativa,costo_promedio,tiempo_promedio
1,112,0.000000,113.900000,6.712677
2,112,0.017857,113.900000,6.712677
3,112,0.017857,113.900000,6.712677
4,112,0.026786,113.900000,6.712677
5,112,0.017857,113.900000,6.712677
6,112,0.026786,113.900000,6.712677
7,112,0.035714,113.900000,6.712677
8,112,0.000000,113.900000,6.712677
9,112,0.026786,113.900000,6.712677
10,112,0.000000,113.900000,6.712677

# VNS - input8.dat
instancia,mejor_costo,error_relativa,costo_promedio,tiempo_promedio
1,131,0.038168,136.800000,7.127056
2,131,0.038168,136.800000,7.127056
3,131,0.030534,136.800000,7.127056
4,131,0.053435,136.800000,7.127056
5,131,0.053435,136.800000,7.127056
6,131,0.061069,136.800000,7.127056
7,131,0.061069,136.800000,7.127056
8,131,0.000000,136.800000,7.127056
9,131,0.061069,136.800000,7.127056
10,131,0.045802,136.800000,7.127056

# VNS - input9.dat
instancia,mejor_costo,error_relativa,costo_promedio,tiempo_promedio
1,158,0.012658,159.000000,10.689237
2,158,0.000000,159.000000,10.689237
3,158,0.006329,159.000000,10.689237
4,158,0.000000,159.000000,10.689237
5,158,0.006329,159.000000,10.689237
6,158,0.000000,159.000000,10.689237
7,158,0.012658,159.000000,10.689237
8,158,0.006329,159.000000,10.689237
9,158,0.006329,159.000000,10.689237
10,158,0.012658,159.000000,10.689237

# VNS - input10.dat
instancia,mejor_costo,error_relativa,costo_promedio,tiempo_promedio
1,181,0.000000,183.500000,12.575139
2,181,0.016575,183.500000,12.575139
3,181,0.011050,183.500000,12.575139
4,181,0.044199,183.500000,12.575139
5,181,0.000000,183.500000,12.575139
6,181,0.005525,183.500000,12.575139
7,181,0.016575,183.500000,12.575139
8,181,0.011050,183.500000,12.575139
9,181,0.022099,183.500000,12.575139
10,181,0.011050,183.500000,12.575139

# VNS - input11.dat
instancia,mejor_costo,error_relativa,costo_promedio,tiempo_promedio
1,210,0.019048,213.600000,11.424087
2,210,0.019048,213.600000,11.424087
3,210,0.019048,213.600000,11.424087
4,210,0.000000,213.600000,11.424087
5,210,0.014286,213.600000,11.424087
6,210,0.014286,213.600000,11.424087
7,210,0.028571,213.600000,11.424087
8,210,0.004762,213.600000,11.424087
9,210,0.028571,213.600000,11.424087
10,210,0.023810,213.600000,11.424087

# VNS - input12.dat
instancia,mejor_costo,error_relativa,costo_promedio,tiempo_promedio
